NetTime,NetDist
41.85976667,60728.315
11.86433333,12009.719
12.16681667,11471.332
13.77241667,14280.072
5.470766667,6539.448
3.036866667,4419.276
26.9138,30497.151
8.167366667,7998.151
9.137866667,8186.759
4.329083333,4100.78
6.544316667,5653.281
8.63335,9592.103
12.07941667,9855.224
11.52718333,11203.002
20.21091667,23317.565
20.83348333,23462.692
7.886016667,8778.313
6.965333333,7234.116
10.27351667,9491.182
8.11495,9306.225
5.657416667,4204.527
5.731766667,6069.669
1.41085,2040.462
5.2226,5362.464
3.876516667,5012.638
2.91695,3335.097
3.842416667,3160.508
10.82158333,10114.491
9.107383333,9470.035
13.7693,15597.33
15.98593333,18035.983
11.00705,12505.736
11.1492,13187.062
8.890566667,5996.993
7.056933333,5104.322
16.87318333,16932.904
14.29871667,13052.846
10.12998333,10704.363
9.50355,9712.915
11.05246667,10529.235
11.37426667,10630.757
12.67218333,12952.97
13.09606667,12630.888
4.388716667,4882.545
6.730283333,6075.239
8.2979,6362.294
6.016,5850.704
6.47755,6028.401
8.8201,5405.654
2.451383333,3724.321
4.581216667,3218.664
3.884866667,3731.836
3.566833333,3667.755
6.48965,6679.745
5.78705,5676.375
7.513966667,7919.712
9.291033333,8790.481
8.0134,7577.043
66.19588333,95950.304
66.3147,93806.855
64.25481667,87656.907
46.98408333,74083.603
45.34083333,74105.484
61.30598333,87168.071
48.692,75178.934
43.1835,57648.058
42.99576667,67379.244
59.86833333,85761.163
62.76265,84631.051
61.79381667,88343.623
59.54495,87521.435
57.62751667,88420.27
61.88581667,92962.478
52.35663333,62559.883
48.59855,61458.99
52.66231667,80273.646
53.38618333,80735.782
46.31461667,72226.811
44.60336667,72107.21
62.10471667,89316.094
56.18003333,84253.428
65.1066,93636.863
49.1224,80146.752
54.65118333,81852.739
47.1724,62111.26
59.71693333,87780.08
62.09586667,89963.525
53.34413333,82679.142
52.39578333,83057.002
51.64498333,81969.827
47.87595,60893.353
68.10628333,93320.069
39.97766667,54428.039
43.59545,58287.113
22.76398333,29706.638
14.71843333,20863.888
11.07668333,15934.752
17.1962,23225.706
22.04165,30981.832
18.82853333,26324.813
11.64878333,15143.778
18.92703333,24779.515
22.17741667,23190.616
30.12543333,45417.306
28.243,42944.957
31.09801667,41479.972
25.1596,35341.532
28.73983333,38739.837
28.0324,35618.634
22.54443333,28642.829
28.32581667,43379.288
27.52726667,34358.76
24.18698333,29243.759
23.66251667,32330.128
26.26958333,33364.326
30.6293,43884.999
30.41046667,38589.655
15.68953333,20894.698
20.63033333,28983.552
37.98803333,22328.577
18.59836667,22959.672
26.53538333,34667.428
28.75875,31771.302
19.49736667,28690.571
4.5326,7072.485
26.01733333,31439.756
12.29895,15621.9
25.61243333,31318.774
19.5832,22793.179
35.56818333,44797.695
28.5138,39092.956
28.28743333,38454.362
20.80185,28544.348
32.52925,40301.47
13.69728333,18635.229
17.34695,25446.319
7.54615,8562.537
21.07341667,29782.597
9.722716667,10450.094
18.47893333,26813.52
25.40546667,34155.087
118.9311833,142342.225
85.67481667,123459.899
117.5042667,140784.218
121.0391167,145320.863
116.1571167,142029.115
114.8529333,136004.502
119.9083333,144062.572
117.6216667,142447.321
118.5244833,142902.081
109.8087833,132582.873
82.99195,126238.171
121.4317,144532.035
130.8829667,158385.958
117.7185,141714.024
111.5371167,134343.727
122.0189333,144025.389
53.09486667,57031.249
51.9598,58772.932
46.46523333,49999.118
49.44661667,53370.476
32.53453333,39330.431
52.50631667,54877.954
51.23718333,54392.014
31.85493333,37161.706
55.12481667,61237.54
22.928,28362.687
16.94385,20274.403
20.30136667,25314.707
50.67726667,53944.673
55.41626667,60827.03
51.2771,55362.73
48.14931667,53026.586
32.31013333,38757.849
35.89636667,44318.829
49.2794,77071.328
48.69291667,75997.66
42.73875,67339.447
43.46993333,69348.396
39.31728333,66917.262
42.07853333,70757.357
42.9969,67917.404
42.81206667,68344.605
54.27841667,83742.689
40.24683333,66325.88
37.32041667,63647.608
57.34145,89056.491
48.3934,71919.082
51.25555,73283
49.56541667,72103.973
46.27755,70838.112
45.06168333,69782.171
37.53185,63026.873
38.08025,63991.767
44.02408333,70653.504
43.70105,73353.524
47.27065,71109.087
46.71065,77187.232
51.63256667,80924.642
